Date,Ward,No_confirmed_cases,
25-Apr-20,Nagar Road-Wadgaonsheri,29,
26-Apr-20,Aundh-Baner,4,
26-Apr-20,Kothrud-Bavdhan,2,
26-Apr-20,Warje-Karvenagar,9,
26-Apr-20,Sinhagad Road,10,
26-Apr-20,Dhankawadi-Sahakarnagar,61,
26-Apr-20,Kondhwa-Yewalewadi,16,
26-Apr-20,Shivajinagar-Ghole Road,142,
26-Apr-20,Kasba-Vishrambagwada,131,
26-Apr-20,Bhawani Peth,245,
26-Apr-20,Bibwewadi,32,
26-Apr-20,Dhole Patil,163,
26-Apr-20,Wanawadi-Ramtekdi,56,
26-Apr-20,Hadapsar-Mundhawa,32,
26-Apr-20,Yerwada-Kalas-Dhanori,127,
26-Apr-20,Nagar Road-Wadgaonsheri,30,
27-Apr-20,Aundh-Baner,4,
27-Apr-20,Kothrud-Bavdhan,2,
27-Apr-20,Warje-Karvenagar,9,
27-Apr-20,Sinhagad Road,11,
27-Apr-20,Dhankawadi-Sahakarnagar,62,
27-Apr-20,Kondhwa-Yewalewadi,16,
27-Apr-20,Shivajinagar-Ghole Road,157,
27-Apr-20,Kasba-Vishrambagwada,134,
27-Apr-20,Bhawani Peth,250,
27-Apr-20,Bibwewadi,33,
27-Apr-20,Dhole Patil,184,
27-Apr-20,Wanawadi-Ramtekdi,58,
27-Apr-20,Hadapsar-Mundhawa,41,
27-Apr-20,Yerwada-Kalas-Dhanori,139,
27-Apr-20,Nagar Road-Wadgaonsheri,30,
28-Apr-20,Aundh-Baner,4,
28-Apr-20,Kothrud-Bavdhan,2,
28-Apr-20,Warje-Karvenagar,9,
28-Apr-20,Sinhagad Road,11,
28-Apr-20,Dhankawadi-Sahakarnagar,62,
28-Apr-20,Kondhwa-Yewalewadi,19,
28-Apr-20,Shivajinagar-Ghole Road,175,
28-Apr-20,Kasba-Vishrambagwada,154,
28-Apr-20,Bhawani Peth,263,
28-Apr-20,Bibwewadi,36,
28-Apr-20,Dhole Patil,190,
28-Apr-20,Wanawadi-Ramtekdi,61,
28-Apr-20,Hadapsar-Mundhawa,43,
28-Apr-20,Yerwada-Kalas-Dhanori,158,
28-Apr-20,Nagar Road-Wadgaonsheri,31,
29-Apr-20,Aundh-Baner,4,
29-Apr-20,Kothrud-Bavdhan,2,
29-Apr-20,Warje-Karvenagar,9,
29-Apr-20,Sinhagad Road,11,
29-Apr-20,Dhankawadi-Sahakarnagar,64,
29-Apr-20,Kondhwa-Yewalewadi,19,
29-Apr-20,Shivajinagar-Ghole Road,190,
29-Apr-20,Kasba-Vishrambagwada,157,
29-Apr-20,Bhawani Peth,266,
29-Apr-20,Bibwewadi,36,
29-Apr-20,Dhole Patil,203,
29-Apr-20,Wanawadi-Ramtekdi,63,
29-Apr-20,Hadapsar-Mundhawa,51,
29-Apr-20,Yerwada-Kalas-Dhanori,167,
29-Apr-20,Nagar Road-Wadgaonsheri,35,
30-Apr-20,Aundh-Baner,4,
30-Apr-20,Kothrud-Bavdhan,2,
30-Apr-20,Warje-Karvenagar,9,
30-Apr-20,Sinhagad Road,11,
30-Apr-20,Dhankawadi-Sahakarnagar,92,
30-Apr-20,Kondhwa-Yewalewadi,23,
30-Apr-20,Shivajinagar-Ghole Road,208,
30-Apr-20,Kasba-Vishrambagwada,154,
30-Apr-20,Bhawani Peth,295,
30-Apr-20,Bibwewadi,45,
30-Apr-20,Dhole Patil,224,
30-Apr-20,Wanawadi-Ramtekdi,76,
30-Apr-20,Hadapsar-Mundhawa,52,
30-Apr-20,Yerwada-Kalas-Dhanori,169,
30-Apr-20,Nagar Road-Wadgaonsheri,38,
01-May-20,Aundh-Baner,4,
01-May-20,Kothrud-Bavdhan,3,
01-May-20,Warje-Karvenagar,9,
01-May-20,Sinhagad Road,11,
01-May-20,Dhankawadi-Sahakarnagar,121,
01-May-20,Kondhwa-Yewalewadi,28,
01-May-20,Shivajinagar-Ghole Road,227,
01-May-20,Kasba-Vishrambagwada,151,
01-May-20,Bhawani Peth,325,
01-May-20,Bibwewadi,55,
01-May-20,Dhole Patil,246,
01-May-20,Wanawadi-Ramtekdi,90,
01-May-20,Hadapsar-Mundhawa,54,
01-May-20,Yerwada-Kalas-Dhanori,172,
01-May-20,Nagar Road-Wadgaonsheri,42,
02-May-20,Aundh-Baner,4,
02-May-20,Kothrud-Bavdhan,4,
02-May-20,Warje-Karvenagar,9,
02-May-20,Sinhagad Road,12,
02-May-20,Dhankawadi-Sahakarnagar,121,
02-May-20,Kondhwa-Yewalewadi,29,
02-May-20,Shivajinagar-Ghole Road,237,
02-May-20,Kasba-Vishrambagwada,156,
02-May-20,Bhawani Peth,352,
02-May-20,Bibwewadi,64,
02-May-20,Dhole Patil,267,
02-May-20,Wanawadi-Ramtekdi,90,
02-May-20,Hadapsar-Mundhawa,55,
02-May-20,Yerwada-Kalas-Dhanori,182,
02-May-20,Nagar Road-Wadgaonsheri,48,
03-May-20,Aundh-Baner,4,
03-May-20,Kothrud-Bavdhan,4,
03-May-20,Warje-Karvenagar,10,
03-May-20,Sinhagad Road,12,
03-May-20,Dhankawadi-Sahakarnagar,121,
03-May-20,Kondhwa-Yewalewadi,29,
03-May-20,Shivajinagar-Ghole Road,240,
03-May-20,Kasba-Vishrambagwada,158,
03-May-20,Bhawani Peth,391,
03-May-20,Bibwewadi,68,
03-May-20,Dhole Patil,290,
03-May-20,Wanawadi-Ramtekdi,95,
03-May-20,Hadapsar-Mundhawa,55,
03-May-20,Yerwada-Kalas-Dhanori,194,
03-May-20,Nagar Road-Wadgaonsheri,49,
04-May-20,Aundh-Baner,4,
04-May-20,Kothrud-Bavdhan,5,
04-May-20,Warje-Karvenagar,10,
04-May-20,Sinhagad Road,16,
04-May-20,Dhankawadi-Sahakarnagar,124,
04-May-20,Kondhwa-Yewalewadi,30,
04-May-20,Shivajinagar-Ghole Road,242,
04-May-20,Kasba-Vishrambagwada,169,
04-May-20,Bhawani Peth,416,
04-May-20,Bibwewadi,71,
04-May-20,Dhole Patil,314,
04-May-20,Wanawadi-Ramtekdi,96,
04-May-20,Hadapsar-Mundhawa,56,
04-May-20,Yerwada-Kalas-Dhanori,214,
04-May-20,Nagar Road-Wadgaonsheri,55,
05-May-20,Aundh-Baner,4,
05-May-20,Kothrud-Bavdhan,5,
05-May-20,Warje-Karvenagar,11,
05-May-20,Sinhagad Road,16,
05-May-20,Dhankawadi-Sahakarnagar,124,
05-May-20,Kondhwa-Yewalewadi,33,
05-May-20,Shivajinagar-Ghole Road,243,
05-May-20,Kasba-Vishrambagwada,172,
05-May-20,Bhawani Peth,433,
05-May-20,Bibwewadi,76,
05-May-20,Dhole Patil,322,
05-May-20,Wanawadi-Ramtekdi,104,
05-May-20,Hadapsar-Mundhawa,58,
05-May-20,Yerwada-Kalas-Dhanori,217,
05-May-20,Nagar Road-Wadgaonsheri,57,
06-May-20,Aundh-Baner,6,
06-May-20,Kothrud-Bavdhan,3,
06-May-20,Warje-Karvenagar,15,
06-May-20,Sinhagad Road,12,
06-May-20,Dhankawadi-Sahakarnagar,79,
06-May-20,Kondhwa-Yewalewadi,29,
06-May-20,Shivajinagar-Ghole Road,247,
06-May-20,Kasba-Vishrambagwada,172,
06-May-20,Bhawani Peth,451,
06-May-20,Bibwewadi,85,
06-May-20,Dhole Patil,347,
06-May-20,Wanawadi-Ramtekdi,110,
06-May-20,Hadapsar-Mundhawa,52,
06-May-20,Yerwada-Kalas-Dhanori,236,
06-May-20,Nagar Road-Wadgaonsheri,56,
07-May-20,Aundh-Baner,6,
07-May-20,Kothrud-Bavdhan,3,
07-May-20,Warje-Karvenagar,15,
07-May-20,Sinhagad Road,12,
